GeneSymbol	OR	p-value	m.value	CustomedDEG	meth.diff
HES6	4.0315474813615415	3.6589381215226954e-74	-2.60018566098582	CR	13.127689398898099
HES7	6.496039603960396	5.94499713901159e-13	-2.22639613727103	None	2.8167573929412297
HESX1	2.2350380586555127	0.0	0.962205624138071	None	21.7009640043293
HEY1	7.8086124401913874	8.112708824080106e-110	0.461368116972469	None	5.1169466997142585
HEY2	5.723262753090202	2.0811048872974406e-132	-2.48842063920872	None	15.5825380112503
HIC2	3.5302983483759074	0.0	-0.189034888359185	None	22.563874034462
HIF1A	6.751666742217813	4.115870572630681e-212	0.547377154922177	None	15.736083115915699
HINFP	21.372330547818013	2.6422501179533513e-176	-0.336410310459836	None	6.1226010285004495
HLF	2.215034722148007	8.336522173134467e-121	-2.76245834585167	CR	19.9849012632883
HMBOX1	2.6095755789127204	0.0	-0.109098709186782	None	13.5570219080784
HNF1A	2.1356908483010653	3.551148837132226e-100	-0.257966892112021	None	4.729355857208059
HNF1B	2.2167335120893266	8.354577052830593e-69	-1.57988139722292	None	10.1188202624162
HNF4A	2.9717021894970888	4.861009989858121e-93	-0.355486826036997	None	-7.52194603348669
HNF4G	3.0712894838100344	7.53111518669178e-97	0.816820198657414	None	12.1659919028318
HOXA1	2.3160214361595957	0.0	2.19107218930727	NR	33.405637606675604
HOXA10	2.406003582547064	0.0	-0.789132457317651	None	13.3847874720194
HOXA2	2.2665792848693016	0.0	-1.13056328774599	None	19.6237277067155
HOXA4	2.437723625466348	0.0	-0.964232193915815	None	16.3287406267009
HOXA5	2.429744382411797	0.0	0.17662308502886	None	-24.398372130984807
HOXA6	2.3695062785713703	0.0	-0.43146786612137	None	-14.415864451703
HOXA7	2.311596398312588	0.0	-0.744483776139181	None	5.6754614954316605
HOXA9	2.4290365946857384	0.0	-0.155604957872855	None	12.342256647184696
HOXB13	2.2109589626743613	4.056642825128511e-225	0.668049400516935	None	14.269755028119302
HOXB2	2.3475321852799858	0.0	0.0105040167381825	None	17.5541450382454
HOXB3	2.344428388548972	0.0	0.553472049584006	None	17.479107978013598
HOXB4	2.2854583120342222	0.0	0.551506356500708	None	17.479107978013598
HOXB5	2.2804063403789274	0.0	0.0329219951164577	None	4.00479066046228
HOXB6	2.4165886583619867	0.0	1.44666768843036	None	11.672743415422001
HOXB7	2.4835298172738467	0.0	2.29635245847754	None	11.672743415422001
HOXB8	2.3258988744786606	0.0	2.35580370987519	None	6.366022916457242
HOXB9	2.4848967177388124	1.9654658145700957e-179	3.57144049881914	None	11.0385100983604
HOXC10	2.361610619740401	0.0	0.206067941816124	None	7.76645855664789
HOXC11	2.7644268967366137	1.4056625120864944e-59	-1.02668463971353	None	8.67780356362689
HOXC12	2.4509651518646502	1.0021254674833807e-142	-0.404367786338437	None	6.90825964222144
HOXC13	2.640307212830144	6.271857239644055e-116	-1.65989142634655	None	15.1510406840701
HOXC4	2.2970662642503483	0.0	0.0790689855324525	None	11.352782458772099
HOXC8	2.32293354927868	0.0	-2.04131843544411	None	10.165434492771801
HOXC9	2.463769148988266	5.310358437120685e-176	-2.23829729525347	None	21.001915073840802
HOXD10	2.523236803017329	2.387062393150408e-130	0.558436851610663	None	8.46265532142427
HOXD11	2.3374331226742293	8.265995923844198e-236	1.17048687439052	None	9.674492230638439
HOXD12	2.6854031583652107	8.310483823633402e-136	-0.214557082379535	None	-10.4452980699516
HOXD3	2.2777209266448977	3.6178209422575374e-285	0.724636671039498	None	13.873247509623
HOXD4	2.297595124587506	0.0	1.13110261944097	None	5.55441449802343
HOXD8	2.315922819126518	0.0	-0.858852918611292	None	8.843589780020631
HSF1	2.4072946513849094	4.341770268647127e-25	-0.297652861812287	None	5.68186375029492
HSF2	2.4541677682516903	2.4966838276718912e-46	0.143794789345209	None	20.7524360093034
HSF4	2.6066125289582547	3.452859903877055e-83	1.23858006818977	NR	13.1974999003813
IKZF1	3.150800016016277	6.429943619883048e-281	0.153503162487286	None	15.5827537799403
INSM1	6.443104410943607	9.521603244561311e-237	1.2549149473353	None	8.94804403679597
IRF2	3.1049043549043547	1.2529580790250082e-19	0.299406436134005	None	10.771418996864199
IRF3	2.176068376068376	1.352467133936092e-08	-0.303952994242559	None	-0.997619818702002
IRF4	2.8260905417663067	6.627126624266774e-11	0.258129140932063	None	8.69308371307838
IRF5	3.780020037211965	2.632591407486635e-19	0.686706629037101	None	10.7651280336275
IRF6	2.7624102279429623	3.241904171668931e-78	-2.09879288088592	None	-7.996129486277258
IRF7	2.6755002387890956	2.428298629646971e-66	1.20454146368877	None	7.531213704899058
IRF8	2.8259816640719597	6.171939525599285e-13	1.41021242573156	NR	-12.296148997004002
IRF9	3.3571428571428568	9.935090299664275e-09	0.182825626980767	None	5.60293792348444
ISL2	2.485561526692	0.0	1.26033597925008	None	11.073399169270301
ISX	2.264951795105587	0.0	0.0133893433681926	None	8.55112205495551
JDP2	2.472298555847269	4.600692637857624e-85	-0.20467375393933	None	10.6703114605659
JUN	2.5319237586405827	7.1910156860111305e-174	-1.12458035309342	None	9.90142956351066
JUNB	2.4387048438685635	1.0528105750421588e-84	-0.10323018950732	None	8.657322891886539
JUND	2.481943974739608	3.5641605663609606e-298	-0.892031923439667	None	10.5823425533861
KLF1	9.180624229042923	0.0	-2.39032002444089	None	11.0432734273154
KLF10	13.828641251221896	0.0	0.828038449902651	None	7.06505260269089
KLF11	8.272688308661161	0.0	0.61382499138146	None	4.60033504662065
KLF12	16.89156933213537	0.0	-1.37517595133017	CR	-24.8954578137123
KLF13	6.2105263157894735	1.4141298588672046e-09	-0.289313913166659	None	15.812423321761301
KLF14	10.610105487754408	0.0	-2.47084738219938	None	8.64114104334395
KLF15	31.779308962441434	0.0	-1.01214893530894	None	4.3613707165136
KLF16	11.272444897677673	0.0	-0.527740760809941	None	18.180419172426895
KLF17	8.89752941687291	2.5633303541803643e-128	-0.620667488509551	None	7.570890868349099
KLF2	9.05672260183908	0.0	-0.515594360169288	None	5.913681766477281
KLF3	9.699087640048738	0.0	-0.193477884164462	None	15.836117588395199
KLF4	10.13984268945141	0.0	0.614477175426742	None	14.332177019354804
KLF5	6.252502708108518	0.0	0.000142666686836712	None	6.75225704102122
KLF6	7.4139490527636145	0.0	-0.178990624827636	None	8.09283086964595
KLF9	7.23738698656011	4.900459661947629e-201	-0.749344525686992	None	21.7700258394907
LBX1	2.313469924488027	0.0	0.0264066959150249	None	11.882037715371
LBX2	2.29273182438557	0.0	-0.0143125112448415	None	17.6588852377397
LHX2	2.265104899581909	0.0	0.796003932040888	None	13.221589386152301
LHX5	2.3042710076295645	0.0	-1.33971081677892	None	9.985652797747589
LHX6	2.280546756255565	3.2015571409720574e-264	1.18705112052442	None	25.040025673642607
LHX9	2.297867624744061	0.0	1.53361115808207	None	13.7423935090112
LMX1A	2.2744051810807173	3.450874154747889e-301	0.98076345290852	None	-17.3602181959855
LMX1B	2.265659936308824	1.1562860374615283e-227	-2.36326815027205	None	24.780354131504694
MAF	3.02780269058296	4.260096471257678e-22	-0.717951730659467	None	4.7065495561175
MAFA	3.4327800881695447	1.4060010607523055e-27	0.76743844024966	None	4.943190867672491
MAFF	2.467346241482645	1.121715479439634e-43	-0.508790835744682	None	13.4257148058952
MAFK	4.382279569892473	1.0200108671498703e-43	0.453357330172116	None	10.3561238775401
MAX	3.8991880996990864	6.765944062678826e-185	-0.252660544108835	None	-8.19704539732942
MAZ	9.50054613116814	0.0	-0.613589250692423	None	16.0011903857311
MEF2A	2.455153753424733	5.543677584193928e-242	0.674610270217771	None	25.2783461210571
MEF2B	2.503086870652301	1.8479655443734646e-101	-0.100386365264505	None	14.919293154410301
MEF2C	2.4475366212452503	0.0	1.14324362778166	NR	29.2207792207792
MEF2D	2.500497430678895	3.8569780723385963e-138	0.333492301535527	None	13.429107434946001
MEIS1	2.808994809278828	0.0	-1.68141531035816	None	25.3185145025665
MEIS2	2.6723777753819418	0.0	-0.35976786677251	None	15.679089349739401
MEIS3	2.742989416260495	0.0	-1.94824724398257	None	7.07610364111075
MEOX1	2.2737456026829435	0.0	-0.165359447020095	None	8.74954325262474
MEOX2	2.291051819288597	0.0	-0.699267784737221	None	13.609855945622199
MGA	3.4241724088814998	0.0	0.395113616004217	None	-8.22419713414616
MITF	2.677403483374374	3.830880279260165e-37	-0.288745752225749	None	21.6603818912665
MIXL1	2.2882730482334384	0.0	0.108875245862157	None	3.782657696078741
MLX	3.8096320177245033	1.1142825601243122e-44	0.227699945193217	None	6.67868077450942
MLXIPL	3.682088881397832	6.771485537179304e-86	1.01243280198468	None	-12.969260218443901
MNT	3.922014131804747	2.4120924631674132e-182	0.169216179438697	None	11.7928229162339
MNX1	2.301580636617772	0.0	8.91129589101983	None	12.4643874643856
MSANTD3	2.9643796488886536	1.6204183900461237e-294	-0.958748176122214	None	18.604651162716802
MSC	3.2857114366059137	1.4090791998803314e-73	0.745116329733168	None	15.4380044467339
MSX1	2.2631347408157034	0.0	0.212925314509211	None	-9.65619089141007
MSX2	2.280641765918461	0.0	-1.58058861009208	None	6.73129108954418
MTF1	2.8447488584474887	0.007560858990595634	0.278771164625844	None	15.771428564903
MXI1	2.8102299557478334	0.0	-0.613573786366647	None	12.0762350416133
MYB	2.792261283211509	0.0	-0.42856243299827	None	25.036064591392304
MYBL1	3.0506613807036937	1.3394643514925224e-25	-0.237553463313937	None	-21.2623567875908
MYBL2	3.3327305605786623	8.895431696780168e-06	-0.494267463139563	None	4.762831406030901
MYC	4.855619471020262	1.573397639320832e-108	-0.268835385038903	None	33.8099345875058
MYCN	4.829363529871143	5.806324226420096e-78	-2.8254004962192	CR	30.1640127150894
MYF5	3.47512190550623	1.3575896494001906e-144	-1.36937175640798	None	7.116546592844889
MYF6	2.8548592508014576	4.080338323947867e-92	-2.68561416158302	None	6.947023012823268
MZF1	3.6347422049460647	5.2866433038422485e-173	-0.0315075121828006	None	8.413697730994281
NEUROD1	3.0998629397239954	3.2371618375530955e-162	-1.04410361513053	None	3.37167198758128
NEUROG1	2.41702276880463	1.1866741623616679e-106	-0.754748316057765	None	14.5808246358898
NFATC3	3.1117620973753564	0.0	-0.0516546681793191	None	8.57683739772931
NFATC4	2.5091626156888696	0.0	-2.03785866128873	CR	16.6948951973045
NFE2	3.505437199858188	1.1262357067788367e-53	-0.667574359776435	None	22.8614587065467
NFIA	2.75938651681784	0.0	-3.14450720151805	CR	26.9602563093628
NFIB	13.514544279250162	3.2486636231249824e-23	-2.8116177664926	None	21.34419561773
NFIC	3.3706654279410047	4.392830432968496e-243	0.0798641791884958	None	13.6606383867915
NFIL3	2.122825146336848	7.449914186168168e-131	0.277148665964077	None	9.39689370662206
NFIX	3.6358388995547615	0.0	0.37367052102697	None	22.479757084916397
NFKB1	6.460243902439022	1.0487214177781934e-24	0.662599510951535	None	14.676317501483199
NFKB2	5.256961373390558	4.0064379246671185e-57	0.277753942259013	None	5.33191603046902
NFYA	2.57616826276107	1.2055861352021849e-100	0.29386724301497	None	8.18977892519551
NFYC	2.3442966081985874	3.144675126793352e-96	0.153538544475325	None	10.4395326964285
NHLH1	4.6528877870078205	1.5095793101306268e-170	-0.884533896877038	None	5.29429243248032
NHLH2	5.752475247524752	4.064842644243085e-23	0.501443432048299	None	7.10319540839117
NKX2-2	2.931639638559553	1.2800649499193491e-142	-0.754748316057765	None	8.6362651167791
NKX2-3	3.037025099509201	0.0	-0.724764989550286	None	-4.88874216026874
NKX2-5	2.694396814748308	1.516366637097666e-270	3.11363105783085	None	12.4421269082588
NKX2-8	2.9495521960440936	0.0	-0.383429011285664	None	20.3235671234168
NKX6-1	2.3621814798810794	0.0	1.71351849235141	None	10.761860892349999
NKX6-2	2.267089704789211	0.0	-1.5919202634911	None	13.7007603583302
NKX6-3	2.2775714952303434	0.0	0.141069539644492	None	8.648719328257389
NOTO	2.2656393782735638	0.0	0.953370881238216	None	-4.72428087772291
NR1D1	3.979262234070176	1.7012698520487017e-71	0.707654675499689	None	6.538619415748769
NR1D2	2.9941526566573766	3.6067051304802554e-38	0.0937067532823548	None	11.677243825373399
NR1I2	3.208120403838963	3.952706173275657e-27	0.333119376595544	None	9.36793533773242
NR2C1	3.8425521080320686	0.0	0.524780780662022	None	4.13531550763617
NR2C2	3.3164323308192682	0.0	0.0410931683647231	None	12.972414993200099
NR2F1	3.467054114756301	3.784419430581396e-199	-0.545118147112125	None	14.810850645355101
NR2F2	2.7634860614911205	4.728054187050533e-189	-0.172111779026074	None	-12.1183637930328
NR2F6	3.2774538386783285	3.432586411180265e-12	-0.000217051203422081	None	14.4552922325284
NR3C1	2.5112918143980267	2.7575391908570167e-12	0.495945262175594	None	25.4980263789197
NR3C2	2.819630156472261	2.2082307474740646e-14	-0.989391130167381	None	23.214835333948894
NR4A1	2.499643541543094	1.0434577572030058e-224	-0.718388879290002	None	-7.2910006428851295
NR4A2	2.522641382260192	9.224549468467836e-206	-0.665773732109621	None	12.718113483945697
NR6A1	2.823400650272473	7.244848630647431e-22	0.382270187761157	None	21.1413367765155
NRL	2.5522057042509387	1.0907370103646986e-104	-0.386279923180763	None	9.00097594105854
OLIG1	2.419654099259488	7.850047655777787e-118	0.411454831103205	None	-7.7467013619627
OLIG2	2.3513849843639485	1.8253580440856563e-145	5.91010507851673	NR	17.378985843357903
OLIG3	2.352351782214958	3.3152056228951074e-253	1.41813083594115	None	-4.75238317251859
ONECUT1	2.059610774741555	1.7628977020835818e-59	0.818270097104246	None	8.77228720501532
ONECUT2	1.9254526369185565	6.551339179036828e-83	-0.221457742991582	None	10.6446703726406
ONECUT3	1.9989835552492152	8.627388259841818e-46	0.483926109770618	None	7.38597841074434
OSR1	3.25452926358723	6.469734445364309e-249	-0.441033500434813	None	12.1304949809623
OSR2	3.3079554974173813	1.04853638921963e-214	0.468332875187211	None	6.6776589058813
OTX1	2.4811247670144283	0.0	-0.248361598682006	None	24.344755246951397
OTX2	2.4170655458282506	2.809377258320993e-277	2.28121091665307	None	10.0010747276182
OVOL1	2.5669884080727843	2.250574227525653e-34	-1.15698429378829	None	16.4024033164385
OVOL2	2.7720887425545566	8.375555570193986e-76	-1.73947284325241	None	-10.847474985247299
PAX1	3.3753424657534246	9.118630778400798e-17	-3.9363515069459	None	13.4344960550139
PAX2	4.320023868825238	3.362439390833205e-29	-0.0331755589041604	None	9.73379317737877
PAX3	2.320511467254152	5.955742103357627e-91	0.359444985978259	None	-14.978260869305199
PAX4	2.354339025711017	3.880780193052958e-226	0.18743855761323	None	-6.3953124763277005
PAX5	7.795167525773196	5.071541813691807e-136	-0.221178175569493	None	29.9705920717174
PAX6	2.252874480996487	7.120711063291741e-14	0.163825792985105	None	8.81953611773811
PAX9	3.7972508591065286	8.07961267273841e-06	-0.676226298190337	None	31.12999147268111
PBX1	2.080218854971046	2.475446164362911e-33	-3.73660448267975	CR	-14.445841190027199
PBX2	2.1080752637381104	6.286091938504949e-134	-0.149997633307452	None	12.5299863405637
PBX3	2.9723406364627736	1.4441132279203182e-21	-0.614297891368471	None	25.289005626006396
PDX1	2.3101263790306086	0.0	-1.54409001194495	None	6.196142688288782
PHOX2A	2.1503579479126134	7.824912215202974e-221	-0.369133277073464	None	17.389335531166402
PHOX2B	1.9876443918264919	1.7936225947679462e-74	-2.99629306943299	None	7.52236945496358
PITX1	2.516495902092416	0.0	4.46212180276781	NR	13.8909028792681
PITX2	2.52842813970286	3.4532285843372894e-280	-0.255734191239325	None	10.253802462777099
PITX3	2.5364837458863945	0.0	-0.799014137053879	None	9.73821130524852
PKNOX1	2.7377018881397936	1.0880852172532963e-40	0.153857064839908	None	6.81083932221255
PKNOX2	3.7657949990456183	5.40169591655094e-21	-0.899933043107897	None	-10.0915142740378
PLAG1	22.71120689655172	1.1640464884678528e-82	0.70287612783811	None	11.599847705669001
PLAGL2	10.644094861149489	0.0	0.587715348269247	None	11.0181845874334
POU1F1	2.0145656546742585	1.6806214074428616e-22	1.60992242038502	None	10.591487944427099
POU2F1	2.2145198673132103	2.838473026839723e-249	0.397472528974102	None	22.6495659244105
