Bin	Methylation	Group
45	0.1355	NR
46	0.1691	NR
47	0.21850000000000003	NR
48	0.27390000000000003	NR
49	0.34049999999999997	NR
50	0.39840000000000003	NR
51	0.45270000000000005	NR
52	0.5	NR
53	0.5445	NR
54	0.5801	NR
55	0.6054999999999999	NR
56	0.6347999999999999	NR
57	0.6594	NR
58	0.6787000000000001	NR
59	0.6987000000000001	NR
60	0.7092	NR
61	0.7177	NR
62	0.7276	NR
63	0.7447	NR
64	0.7399	NR
65	0.7515000000000001	NR
66	0.7582	NR
67	0.7631999999999999	NR
68	0.7676999999999999	NR
69	0.7681999999999999	NR
70	0.7731	NR
71	0.7726000000000001	NR
72	0.7756000000000001	NR
73	0.7807999999999999	NR
74	0.7856000000000001	NR
75	0.7846	NR
76	0.7864	NR
77	0.7851	NR
78	0.7911	NR
79	0.7954000000000001	NR
80	0.7959	NR
81	0.7925	NR
82	0.7908	NR
83	0.7896	NR
84	0.7914	NR
85	0.7906	NR
86	0.7908	NR
87	0.7870999999999999	NR
88	0.7887000000000001	NR
89	0.7864	NR
90	0.7894	NR
91	0.7879	NR
92	0.7909999999999999	NR
93	0.7889	NR
94	0.7893000000000001	NR
95	0.7897	NR
96	0.7976000000000001	NR
97	0.7987000000000001	NR
98	0.8011	NR
99	0.8020999999999999	NR
100	0.8009000000000001	NR
101	0.8042	NR
102	0.7989	NR
103	0.8017	NR
104	0.7989	NR
105	0.8011	NR
106	0.7979	NR
107	0.8007	NR
108	0.7978000000000001	NR
109	0.7940999999999999	NR
110	0.794	NR
111	0.7942	NR
112	0.7977	NR
113	0.7947	NR
114	0.7959	NR
115	0.7983	NR
116	0.7972	NR
117	0.8007	NR
118	0.8005	NR
119	0.8003	NR
120	0.7974	NR
121	0.7984	NR
122	0.7967	NR
123	0.7947	NR
124	0.795	NR
125	0.7974	NR
126	0.7947	NR
127	0.7998000000000001	NR
128	0.8004000000000001	NR
129	0.7988	NR
130	0.7942	NR
131	0.7912	NR
132	0.7940999999999999	NR
133	0.7884	NR
134	0.7931999999999999	NR
135	0.7887000000000001	NR
136	0.7868	NR
137	0.7856000000000001	NR
138	0.7831	NR
139	0.7839	NR
140	0.7861	NR
141	0.7859999999999999	NR
142	0.7902	NR
143	0.7859	NR
144	0.7918000000000001	NR
145	0.7926000000000001	NR
146	0.797	NR
147	0.7955	NR
148	0.794	NR
149	0.7887000000000001	NR
150	0.7879999999999999	NR
151	0.7893000000000001	NR
152	0.7902	NR
153	0.7868999999999999	NR
154	0.7843000000000001	NR
155	0.7881999999999999	NR
156	0.7841	NR
157	0.7868	NR
158	0.7844	NR
159	0.7817000000000001	NR
160	0.7818	NR
161	0.7824	NR
162	0.7822	NR
163	0.7868	NR
164	0.7841	NR
165	0.787	NR
166	0.7894	NR
167	0.7929999999999999	NR
168	0.7908	NR
169	0.7909	NR
170	0.7929999999999999	NR
171	0.7918999999999999	NR
172	0.7947	NR
173	0.7957	NR
174	0.7959999999999999	NR
175	0.7933	NR
176	0.7979999999999999	NR
177	0.7959	NR
178	0.7938	NR
179	0.7931999999999999	NR
180	0.7881999999999999	NR
181	0.7916	NR
182	0.7892	NR
183	0.7951	NR
184	0.7908	NR
185	0.7954000000000001	NR
186	0.7966	NR
187	0.7933	NR
188	0.7944	NR
189	0.789	NR
190	0.7813	NR
191	0.7867000000000001	NR
192	0.7894	NR
193	0.7929	NR
194	0.7911	NR
195	0.792	NR
196	0.7933	NR
197	0.7912	NR
198	0.7951	NR
199	0.7968000000000001	NR
200	0.7961	NR
1	0.7583	Normal
2	0.7598999999999999	Normal
3	0.7578	Normal
4	0.7615000000000001	Normal
5	0.7613	Normal
6	0.7613	Normal
7	0.7597	Normal
8	0.7539	Normal
9	0.752	Normal
10	0.7525	Normal
11	0.7482	Normal
12	0.7472	Normal
13	0.7494	Normal
14	0.747	Normal
15	0.7463	Normal
16	0.7423000000000001	Normal
17	0.7397	Normal
18	0.7390000000000001	Normal
19	0.7334	Normal
20	0.7326	Normal
21	0.7245999999999999	Normal
22	0.7198	Normal
23	0.7054	Normal
24	0.6962999999999999	Normal
25	0.6857	Normal
26	0.6597	Normal
27	0.6341	Normal
28	0.5981000000000001	Normal
29	0.5625	Normal
30	0.5128	Normal
31	0.4621	Normal
32	0.4	Normal
33	0.3396	Normal
34	0.27440000000000003	Normal
35	0.2097	Normal
36	0.1483	Normal
37	0.0998	Normal
38	0.06269999999999999	Normal
39	0.0483	Normal
40	0.0527	Normal
41	0.058499999999999996	Normal
42	0.061500000000000006	Normal
43	0.0667	Normal
44	0.08130000000000001	Normal
45	0.0984	Normal
46	0.1277	Normal
47	0.17329999999999998	Normal
48	0.2279	Normal
49	0.2955	Normal
50	0.3564	Normal
51	0.4147	Normal
52	0.4642	Normal
53	0.5135000000000001	Normal
54	0.5527000000000001	Normal
55	0.5783	Normal
56	0.6096	Normal
57	0.6338	Normal
58	0.6541	Normal
59	0.6789000000000001	Normal
60	0.6904	Normal
61	0.7006999999999999	Normal
62	0.7142000000000001	Normal
63	0.7304	Normal
64	0.7306	Normal
65	0.7441	Normal
66	0.7484999999999999	Normal
67	0.7574	Normal
68	0.7641	Normal
69	0.7641	Normal
70	0.7724	Normal
71	0.7702	Normal
72	0.7744	Normal
73	0.7796	Normal
74	0.7861	Normal
75	0.7831999999999999	Normal
76	0.7857999999999999	Normal
77	0.7853	Normal
78	0.7889	Normal
79	0.7943000000000001	Normal
80	0.7951	Normal
81	0.7902	Normal
82	0.7898000000000001	Normal
83	0.7909999999999999	Normal
84	0.79	Normal
85	0.7901	Normal
86	0.79	Normal
87	0.7878000000000001	Normal
88	0.79	Normal
89	0.7848999999999999	Normal
90	0.7903	Normal
91	0.7857999999999999	Normal
92	0.7912	Normal
93	0.7868999999999999	Normal
94	0.7878000000000001	Normal
95	0.7903	Normal
96	0.7994	Normal
97	0.7984	Normal
98	0.8017	Normal
99	0.8049	Normal
100	0.8012	Normal
101	0.8045	Normal
102	0.7998000000000001	Normal
103	0.8028	Normal
104	0.8004000000000001	Normal
105	0.8012999999999999	Normal
106	0.7974	Normal
107	0.7964	Normal
108	0.7966	Normal
109	0.7940999999999999	Normal
110	0.7909999999999999	Normal
111	0.7936	Normal
112	0.7963	Normal
113	0.7931999999999999	Normal
114	0.7954000000000001	Normal
115	0.7975	Normal
116	0.7977	Normal
117	0.8009000000000001	Normal
118	0.8014	Normal
119	0.8012999999999999	Normal
120	0.7981	Normal
121	0.7972	Normal
122	0.7978000000000001	Normal
123	0.7945	Normal
124	0.7962	Normal
125	0.7988	Normal
126	0.7966	Normal
127	0.8022	Normal
128	0.8022	Normal
129	0.8	Normal
130	0.7948000000000001	Normal
131	0.7934	Normal
132	0.7959999999999999	Normal
133	0.7859999999999999	Normal
134	0.7926000000000001	Normal
135	0.7906	Normal
136	0.7879	Normal
137	0.7862	Normal
138	0.7853	Normal
139	0.7827	Normal
140	0.7878000000000001	Normal
141	0.7853	Normal
142	0.7897	Normal
143	0.7868	Normal
144	0.7917000000000001	Normal
145	0.7909999999999999	Normal
146	0.7989	Normal
147	0.7951	Normal
148	0.7946	Normal
149	0.7894	Normal
150	0.789	Normal
151	0.7885	Normal
152	0.7911	Normal
153	0.7872	Normal
154	0.784	Normal
155	0.7833	Normal
156	0.7805	Normal
157	0.7845	Normal
158	0.7833	Normal
159	0.7804000000000001	Normal
160	0.7807	Normal
161	0.7831999999999999	Normal
162	0.7816	Normal
163	0.7868	Normal
164	0.7848999999999999	Normal
165	0.7876000000000001	Normal
166	0.792	Normal
167	0.7942	Normal
168	0.7892	Normal
169	0.7898999999999999	Normal
170	0.7939	Normal
171	0.792	Normal
172	0.7953	Normal
173	0.7973	Normal
174	0.7968999999999999	Normal
175	0.7938	Normal
176	0.7986	Normal
177	0.7962	Normal
178	0.7951999999999999	Normal
179	0.7968000000000001	Normal
180	0.7909	Normal
181	0.7933	Normal
182	0.7922	Normal
183	0.7961	Normal
184	0.7959	Normal
185	0.7968999999999999	Normal
186	0.7953	Normal
187	0.794	Normal
188	0.7961	Normal
189	0.7854000000000001	Normal
190	0.779	Normal
191	0.7848999999999999	Normal
192	0.7904000000000001	Normal
193	0.7931	Normal
194	0.7905	Normal
195	0.79	Normal
196	0.7909999999999999	Normal
197	0.7912	Normal
198	0.7939	Normal
199	0.7963	Normal
200	0.7959999999999999	Normal
